time,battery_voltage,humidity,motion,temperature
2025-09-19 18:00:32.235574308+00:00,3.085,59.9,10866,26.91
2025-09-19 18:03:44.717599573+00:00,3.084,59.8,10870,26.89
2025-09-19 18:09:17.100430013+00:00,3.083,60.2,10872,26.88
2025-09-19 18:14:00.643433458+00:00,3.084,60.4,10877,26.88
2025-09-19 18:23:03.366762738+00:00,3.083,61.1,10877,26.89
2025-09-19 18:53:02.792987772+00:00,3.085,61.6,10877,26.77
2025-09-19 18:55:57.012994392+00:00,3.082,61.2,10878,26.79
2025-09-19 19:08:30.911106922+00:00,3.085,60.4,10880,26.73
2025-09-19 19:23:02.303556477+00:00,3.084,61.3,10891,26.65
2025-09-19 19:32:41.144033734+00:00,3.084,61.7,10892,26.58
2025-09-19 19:53:01.751217298+00:00,3.085,62.4,10901,26.44
2025-09-19 20:23:01.337354548+00:00,3.085,63.1,10901,26.31
2025-09-19 20:53:00.733833025+00:00,3.086,64.5,10901,26.39
2025-09-19 21:04:37.585639378+00:00,3.084,64.9,10902,26.4
2025-09-19 21:06:43.981642180+00:00,3.084,65.0,10928,26.39
2025-09-19 21:08:45.787654723+00:00,3.084,65.0,10954,26.41
2025-09-19 21:10:45.958497805+00:00,3.084,64.9,10976,26.4
2025-09-19 21:12:51.089241573+00:00,3.086,65.0,10997,26.41
2025-09-19 21:14:51.242890002+00:00,3.084,65.1,11016,26.41
2025-09-19 21:16:53.523013027+00:00,3.085,65.2,11041,26.43
2025-09-19 21:18:53.963784004+00:00,3.085,65.1,11067,26.41
2025-09-19 21:21:19.849838316+00:00,3.084,65.1,11080,26.44
2025-09-19 21:23:00.279097322+00:00,3.084,65.3,11101,26.44
2025-09-19 21:23:50.289088193+00:00,3.083,65.0,11103,26.46
2025-09-19 21:25:51.158708755+00:00,3.085,65.1,11125,26.43
2025-09-19 21:28:11.953078591+00:00,3.084,65.1,11149,26.44
2025-09-19 21:30:12.868011473+00:00,3.085,64.9,11173,26.44
2025-09-19 21:32:16.667803896+00:00,3.085,66.1,11201,26.47
2025-09-19 21:34:17.473909066+00:00,3.084,64.9,11225,26.47
2025-09-19 21:36:19.838812611+00:00,3.084,64.8,11247,26.46
2025-09-19 21:38:23.627692793+00:00,3.084,64.9,11271,26.46
2025-09-19 21:40:26.532588818+00:00,3.083,65.0,11298,26.47
2025-09-19 21:42:26.988285391+00:00,3.084,65.4,11320,26.44
2025-09-19 21:44:31.725566955+00:00,3.083,65.5,11332,26.49
2025-09-19 21:46:32.555215457+00:00,3.083,65.5,11356,26.46
2025-09-19 21:48:34.430781458+00:00,3.085,65.5,11378,26.47
2025-09-19 21:50:42.368293962+00:00,3.084,65.7,11387,26.5
2025-09-19 21:52:59.643293453+00:00,3.084,65.9,11390,26.49
2025-09-19 21:54:00.480698356+00:00,3.083,65.9,11391,26.5
2025-09-19 21:56:01.780824107+00:00,3.086,66.1,11416,26.49
2025-09-19 21:58:03.148395276+00:00,3.083,66.2,11441,26.44
2025-09-19 22:00:06.445123300+00:00,3.084,66.5,11456,26.46
2025-09-19 22:02:08.377382874+00:00,3.083,66.4,11474,26.46
2025-09-19 22:04:17.191522376+00:00,3.084,66.2,11490,26.46
2025-09-19 22:06:25.397686425+00:00,3.084,65.8,11512,26.46
2025-09-19 22:08:29.086881509+00:00,3.084,65.8,11525,26.46
2025-09-19 22:12:35.094426246+00:00,3.085,65.2,11565,26.49
2025-09-19 22:14:42.341893251+00:00,3.084,64.6,11584,26.49
2025-09-19 22:16:42.456319759+00:00,3.083,64.5,11607,26.51
2025-09-19 22:18:44.319306504+00:00,3.083,64.5,11630,26.5
2025-09-19 22:20:45.961034348+00:00,3.084,64.8,11641,26.5
2025-09-19 22:22:59.166158222+00:00,3.082,65.1,11646,26.53
2025-09-19 22:23:06.196633774+00:00,3.084,65.1,11647,26.51
2025-09-19 22:25:40.506735802+00:00,3.085,65.2,11661,26.51
2025-09-19 22:28:01.671026832+00:00,3.084,64.9,11672,26.55
2025-09-19 22:30:03.070561979+00:00,3.083,64.5,11685,26.55
